Unnamed: 0,번호,제목,저자,출판사,출판일
,26,Priming effects of an olfactory food cue on subsequent food-related behaviour,"Gaillet, M.; Sulmont-Rosse, C.; Issanchou, S.; Chabanet, C.; Chambaron, S.","Elsevier Science B.V., Amsterdam.",2013
,27,Assessing children's willingness to try new foods: Validation of a Portuguese version of the child's food neophobia scale for parents of young children,"Gomes, Ana Isabel; Barros, Luisa; Pereira, Ana Isabel; Roberto, Magda Sofia; Mendonça, Mariana","Elsevier Science B.V., Amsterdam.",2018
,28,Pyrrolizidine alkaloids in food: downstream contamination in the food chain caused by honey and pollen,"Kempf, M.; Wittig, M.; Schonfeld, K.; Cramer, L.; Schreier, P.; Beuerle, T.",Taylor & Francis,2011
,29,"Keystone Foods: Emerging from 40 years in the background, Keystone Foods is asserting its capabilities as a contract manufacturer at its brand new Gadsden, AL facility",unknown,BUSINESS NEWS PUBLISHING,2010
,30,Functional Foods: Higher protein products and fat busting bananas are some of the new items on the menu,unknown,AUSTRALIAN INSTITUTE OF FOOD SCIENCE & TECHNOLOGY,2013
,31,"Epilogue: Foods of war, and wars on food: The American military commissary and (re)shaping the American diet","Babic, Annessa Ann",Taylor & Francis,2017
,32,"LITTLE FOOD ASCENDANT Like Lilliputians lashing down Gulliver, small companies are chipping away at Big Food's market share",unknown,PUTMAN PUBLICATIONS,2016
,33,"Modern Food, Moral Food: Self-Control, Science, and the Rise of Modern American Eating in the Early Twentieth Century: By Helen Zoe Veit","Vester, Katharina",Taylor & Francis,2015
,34,Corrigendum to “Novel liquid chromatography–mass spectrometry method for sensitive determination of the mustard allergen Sin a 1 in food” [Food Chem. 183 (2015) 58–63],"Posada-Ayala, M.; Alvarez-Llamas, G.; Maroto, A. S.; Maes, X.; Muñoz-Garcia, E.; Villalba, M.; Rodríguez, R. a.; Perez-Gordo, M.; Vivanco, F.; Pastor-Vargas, C.","Elsevier Science B.V., Amsterdam.",2016
,35,Awareness and Perceived Risk of Pesticide and Antibiotic Residues in Food: Socioeconomic Variations among United States' Consumers,"Yen, S. T.; Jensen, K. L.; Lin, C.-T. J.",International Association for Food Protection,2006
,36,WHO WILL WORK FOR FOOD? What could a Trump or Clinton presidency mean for the food & beverage industry?,unknown,PUTMAN PUBLICATIONS,2016
,37,Using non-food information to identify food-choice segment membership,"Kornelis, M.; Herpen, E. v.; Lans, I. v.; Aramyan, L.","Elsevier Science B.V., Amsterdam.",2010
,38,Corrigendum to `A two-site monoclonal antibody immunochromatography assay for rapid detection of peanut allergen Ara h1 in Chinese imported and exported foods' [Food Chemistry 129 (2011) 541-545],"Ji, K. M.; Chen, J. J.; Gao, C.; Liu, X. y.; Xia, L. X.; Liu, Z. G.; Li, L.; Yang, S.","Elsevier Science B.V., Amsterdam.",2012
,39,Convenience Foods: The convenience foods sector is fuelled by constant innovative recipe developments,unknown,TARA PUBLISHING CO LTD,1999
,40,A human–food web–animal interface on the prevalence of food-borne pathogens (Clostridia and Enterococcus) in mixed veterinary farms,"Prisilla, A.; Deena Remin, M.; Roja, B.; Chellapandi, P.",Springer Nature,2019
,41,Opportunities for Heart-Healthy Foods: Interest in heart health and its connections to the foods we eat is one of today's top concerns,unknown,WEEKS PUBLISHING CO.,2007
,42,Possible role of the microbiome in the development of acute malnutrition and implications for food-based of acute malnutrition and implications for food-based strategies to prevent and treat acute malnutrition,Ellen Murray; Mark Manary,United Nations University,2015
,43,Food-Sourced allergens: do new food ingredients mean new allergens?,"Matulka,  R. A.",TEKNOSCIENZE S.R.L.,2017
,44,Isolation and identification of spoilage microorganisms using food-based media combined with rDNA sequencing: Ranch dressing as a model food,"Waite, J. G.; Jones, J. M.; Yousef, A. E.","Elsevier Science B.V., Amsterdam",2009
,45,Food‐derived antioxidants and COVID‐19,"Lammi, Carmen; Arnoldi, Anna",Wiley-Blackwell,2021
,46,Migration of antimony from PET trays into food simulant and food: determination of Arrhenius parameters and comparison of predicted and measured migration data,"Haldimann, M.; Alt, A.; Blanc, A.; Brunner, K.; Sager, F.; Dudler, V.",Taylor & Francis,2013
,47,Consumer Attitudes Towards Irradiated Food: 2003 vs. 1993,"Johnson, A. M.; Reynolds, A. E.; Chen, J.; Resurreccion, A. V. A.",International Association for Food Protection,2004
,48,"Cleaning Up Processed Foods: Shoppers are paying more attention to what they put into their bodies, and that is driving the development and reformulation of products with cleaner labels","Katz, B.; AnnWilliams, L.",INSTITUTE OF FOOD TECHNOLOGISTS,2011
,49,Cheese as Functional Food: The Example of Parmigiano Reggiano and Grana Padano,"Summer,  Andrea; Formaggioni,  Paolo; Franceschi,  Piero; Di Frangia,  Federica; Righi,  Federico; Malacarne,  Massimo",FOOD TECHNOLOGY AND BIOTECHNOLOGY,2017
,50,"Consumer Acceptance and Willingness to Pay for Instant Cereal Products With Food-to-Food Fortification in Eldoret, Kenya","De Groote, Hugo; Mugalavai, Violet; Ferruzzi, Mario; Onkware, Augustino; Ayua, Emmanuel; Duodu, Kwaku G.; Ndegwa, Michael; Hamaker, Bruce R.",UNITED NATIONS UNIVERSITY PRESS,2020
,51,"Food-Borne Zoonoses and the Consumer: Fear, Panic and the Role of the Mass News Media","Burriel, R. A.",FOOD PRODUCT PRESS,2006
,52,Food safety knowledge and food-handling practices of Greek university students: A questionnaire-based survey,"Lazou, T.; Georgiadis, M.; Pentieva, K.; McKevitt, A.; Iossifidou, E.","Elsevier Science B.V., Amsterdam.",2012
,53,"HOW SAFE IS `CLEAN' FOOD? While consumers may be demanding it, food scientists warn of increased risks for foodborne pathogens",unknown,PUTMAN PUBLICATIONS,2019
,54,Marine food-derived functional ingredients as potential antioxidants in the food industry: An overview,"Ngo, D.-H.; Wijesekara, I.; Vo, T.-S.; Ta, Q. V.; Kim, S.-K.","Elsevier Science B.V., Amsterdam.",2011
,55,Consumer Attitudes toward Ethical Food: Evidence from Social Farming in Italy,"Carbone, A.; Gaito, M.; Senni, S.",FOOD PRODUCT PRESS,2009
,56,What reported food-evoked emotions may add: A model to predict consumer food choice,Swetlana Gutjar; Jelle R. Dalenberg; Cees de Graaf; René A. de Wijk; Aikaterini Palascha; Remco J. Renken; Gerry Jager,Longman Scientific & Technical,2015
,57,Ethnic foods.: Santosh Khokhar notes the need to gather reliable information on the composition of ethnic foods,unknown,BOSTON HANNAH COMMUNICATIONS,2011
,58,Food4Me study: Validity and reliability of Food Choice Questionnaire in 9 European countries,Jerko Markovina; Barbara J. Stewart-Knox; Audrey Rankin; Mike Gibney; Maria Daniel V. de Almeida; Arnout Fischer; Sharron A. Kuznesof; Rui Poínhos; Luca Panzone; Lynn J. Frewer,Longman Scientific & Technical,2015
,59,Validating the usage of household food acquisition surveys to assess the consumption of ultra-processed foods: Evidence from Brazil,"Louzada, Maria Laura da Costa; Levy, Renata Bertazzi; Martins, Ana Paula Bortoletto; Claro, Rafael Moreira; Steele, Euridice Martinez; Verly Jr., Eliseu; Cafiero, Carlo; Monteiro, Carlos Augusto","Elsevier Science B.V., Amsterdam.",2017
,60,Cross-European and Functional Food-Related Consumer Segmentation for New Product Development,"Sparke, K.; Menrad, K.",FOOD PRODUCT PRESS,2009
,61,Corrigendum to “Avian-specific real-time PCR assay for authenticity control in farm animal feeds and pet foods” [Food Chem. 142 (2014) 39–47],"Pegels, N.; González, I.; García, T.; Martín, R.","Elsevier Science B.V., Amsterdam.",2014
,62,"Corrigendum to ""Assessing children's willingness to try new foods: Validation of a Portuguese version of the Child's Food Neophobia Scale for parents of young children"" 63 (2018) 151–158","Gomes, Ana Isabel; Barros, Luisa; Pereira, Ana Isabel; Roberto, Magda Sofia; Mendonça, Mariana","Elsevier Science B.V., Amsterdam.",2018
,63,"SNACK FOODS &amp; READY MEALS Included in our feature is a report on the launch of CP Foods' new UK venture, which took place late last year",unknown,IML GROUP PLC,2007
,64,Acrylamide in Food: Cancer Risk or Mystery?,"Duxbury, D.",INSTITUTE OF FOOD TECHNOLOGISTS,2004
,65,Functional Foods: Opportunities &amp; Challenges,"Clydesdale, F.",INSTITUTE OF FOOD TECHNOLOGISTS,2004
,66,Perusing the Food-Color Palette A rainbow of colors awaits food formulators looking to add a little eye-appeal to their products,unknown,WEEKS PUBLISHING CO.,2004
,67,"(Dis)comfort food: connecting food, social media, and first-year college undergraduates","Pennell, Michael",Taylor & Francis,2018
,68,Migration of dehydroabietic and abietic acids from paper and paperboard food packaging into food-simulating solvents and Tenax TA,"Ozaki, A.; Ooshima, T.; Mori, Y.",TAYLOR & FRANCIS,2006
,69,Are You in the Mood... for Food?,"Gray, B.; Bell, J.; Ponsonby, S.",FOOD PRODUCT PRESS,2003
,70,"Fishing for food? Analyzing links between fishing livelihoods and food security around Lake Victoria, Kenya","Fiorella, K. J.",Springer Science + Business Media,2014
,71,Lactic Acid Bacteria from Argentinean Fermented Foods: Isolation and Characterization for their Potential Use as Starters for Fermentation of Vegetables,"Sáez, Gabriel D.; Flomenbaum, Leandro; Zárate, Gabriela",FOOD TECHNOLOGY AND BIOTECHNOLOGY,2018
,72,A fit-for-purpose method to monitor 16 European Union PAHs in food: results of five years of official food control in two Italian regions,"Lestingi, Carmela; Tavoloni, Tamara; Bardeggia, Valentina; Perugini, Monia; Piersanti, Arianna",Taylor & Francis,2017
,73,Functional Foods: key facts,"Schenker, S.",INSTITUTE OF FOOD SCIENCE & TECHNOLOGY,1999
,74,Food-Safety Perceptions as a Tool for Market Segmentation: The U.S. Poultry Meat Market,"Onyango, B.; Rimal, A.; Miljkovic, D.; Hallman, W.K.",FDRS FOOD DISTRIBUTION RESEARCH SOCIETY,2009
,75,Effect of quantity of food residues on resistance to desiccation of food-related pathogens adhered to a stainless steel surface,"Kuda, Takashi; Shibata, Gensui; Takahashi, Hajime; Kimura, Bon","Elsevier Science B.V., Amsterdam",2015
,76,"Food, larvae‐ly food…",unknown,BOSTON HANNAH COMMUNICATIONS,2018
,77,"Food-Related Lifestyles in a Cross-Cultural Context: Comparing Australia with Singapore, Britain, France and Denmark","Reid, M.; Li, E.; Bruwer, J.; Grunert, K.",FOOD PRODUCT PRESS,2001
,78,Food-Mouth Interactions,unknown,NEW ZEALAND INSTITUTE OF FOOD SCIENCE AND TECHNOLOGY,1997
,79,Nanotechnology and the food industry. Kathy Groves reviews developments in nanotechnology and some potential food-related applications,unknown,BOSTON HANNAH COMMUNICATIONS,2009
,80,Chilled Foods: The National Food Centres writes on the importance of operating an efficient chill chain,"Gormley, R.",TARA PUBLISHING CO LTD,1995
,81,Convenience Foods: Forecourts - next growing market sector for convenience foods,unknown,NATIONAL PUBLISHING PTY LTD,2008
,82,"Satisfaction with food-related life and beliefs about food health, safety, freshness and taste among the elderly in China: A segmentation analysis","Liu, Rongduo; Grunert, Klaus G.","Elsevier Science B.V., Amsterdam.",2020
,83,"Simultaneous, rapid and sensitive detection of three food-borne pathogenic bacteria using multicolor quantum dot probes based on multiplex fluoroimmunoassay in food samples","Wang, B.; Wang, Q.; Cai, Z.; Ma, M.","Elsevier Science B.V., Amsterdam",2015
,84,A Simple and Sensitive Polymerase Chain Reaction Method for the Detection of Food-Related Bacteria,"Nagashima, K.",JAPANESE SOCIETY FOR FOOD SCIENCE AND TECHNOLOGY,2000
,85,Corrigendum to ''The influence of recent tasting experience on expected liking for foods'' [Food Qual. Prefer. 27 (1) (2012) 101-106],"Robinson, E.; Blissett, J.; Higgs, S.","Elsevier Science B.V., Amsterdam.",2014
,86,FOOD'S FUTURE. Sir Don Curry's report into the Future of Farming and Food has major implications for manufacturers,unknown,MORGAN-GRAMPIAN PLC,2002
,87,Ready-to-Use Supplementary Foods and Ready-to-Use Therapeutic Foods: Developing Product Standards,"Schweitzer,  Cindy",UNITED NATIONS UNIVERSITY PRESS,2016
,88,Fish: Friend or foe? Food policy and subpopulation warnings for consumers,"Hughner, R. S.; Maher, J. K.; Childs, N. M.; Nganje, W. E.","Elsevier Science B.V., Amsterdam.",2009
,89,"`Corrigendum to ""Safety evaluation of pytosterol esters. Part 3. Two-generation reproduction study in rats with phytosterol esters-a novel functional food"" [Food Chem. Toxicol. 37 (1999) 683-696]",unknown,PERGAMON PRESS,2002
,90,Food residuals on the food‐contacting surfaces of stainless steel and polypropylene influence the efficacy of ultraviolet light in killing foodborne pathogens,"Yoon, Jae‐Hyun; Hyun, Jeong‐Eun; Song, Hana; Kim, Ji‐Yeon; Kim, Ju‐Hee; Lee, Sun‐Young",Wiley-Blackwell,2018
,91,Thermal history indicators for cook-chill foods: Effect of particle size on cold triggering time,"Mizoguchi, T.; Kitsunai, M.; Hirose, K.; Hirasawa, A.; Rodgers, S.; Chiba, K.",AUSTRALIAN INSTITUTE OF FOOD SCIENCE &amp; TECHNOLOGY,2011
,92,"A behavioural reasoning perspective on the consumption of local food. A study on REKO, a social media-based local food distribution system","Sushant Kumar, Shalini Talwar, Mikko Murphy, Puneet Kaur, Amandeep Dhir",Longman Scientific & Technical,2021
,93,"Programme on the recyclability of food-packaging materials with respect to food safety considerations: polyethylene terephthalate (PET), paper and board, and plastics covered by functional barriers","Franz, R.",TAYLOR & FRANCIS,2002
,94,Simple method for the selection of the appropriate food simulant for the evaluation of a specific food/packaging interaction,"Hernandez-Munoz, P.; Catala, R.; Gavara, R.",TAYLOR & FRANCIS,2002
,95,Detection and distribution of food-borne bacteria in ready-to-eat foods in Korea,"Cho, J. I.; Lee, S. H.; Lim, J. S.; Koh, Y. J.; Kwak, H. S.; Hwang, I. G.",SPRINGER,2011
,96,Improving bioavailability of iron in Indian diets through food-based approaches for the control of iron deficiency anaemia,"Sharma, K. K.",FOOD AND AGRICULTURE ORGANIZATION,2003
,97,"What Motivates Consumers to Buy Organic Food: Comparison of Croatia, Bosnia Herzegovina, and Slovenia","Cerjak, M.; Mesic, Z.; Kopic, M.; Kovacic, D.; Markovina, J.",FOOD PRODUCT PRESS,2010
,98,Family and Western-Style Fast Food: Influences on Chinese College Students' Dairy Consumption,"Xu, P.; Zheng, S.; Zhou, S.",FOOD PRODUCT PRESS,2011
,99,Asian Foods: Science and Technology,"Ma, C. Y.",Published on behalf of the Canadian Institute of Food Science and Technology by Elsevier Applied Science,2002
,100,Food Variety and Dietary Diversity Scores to Understand the Food-Intake Pattern among Selected Malaysian Households,"Badari, S.A.Z.; Arcot, J.; Haron, S.A.; Paim, L.; Sulaiman, N.; Masud, J.",Taylor & Francis,2012
,1,COVID-19 transmission and food: a brief overview of the evidence,Dr Tom Ross,Council of Australian Food Technology Associations,2021
,2,Exploring the real costs and benefits of the `local food' movement,unknown,AUSTRALIAN INSTITUTE OF FOOD SCIENCE & TECHNOLOGY,2012
,3,What's the Real Reason We Don't Like Airline Food?,unknown,AUSTRALIAN INSTITUTE OF FOOD SCIENCE & TECHNOLOGY,2017
,4,The food safety impact of the Codex sampling plans for Listeria monocytogenes in ready-to-eat foods: An empirical case study applying the FAO/WHO sampling plan tool,"Powell, Mark R.","Elsevier Science B.V., Amsterdam.",2015
,5,"Migration Phenomenon in Food Packaging. Food–Package Interactions, Mechanisms, Types of Migrants, Testing and Relative Legislation—A Review","Arvanitoyannis, I. S.; Kotsanopoulos, K. V.",Springer Science + Business Media,2014
,6,The Effect of Food-Grade Low-Molecular-Weight Surfactants and Sodium Caseinate on Spray Drying of Sugar-Rich Foods,"Jayasundera, M.; Adhikari, B. P.; Adhikari, R.; Aldred, P.",SPRINGER SCIENCE + BUSINESS MEDIA,2010
,7,Clenbuterol Residues in Plasma and Urine Samples of Food-Producing Pigs During and After Subchronic Exposure to a Growth-Promoting Dose,"Pleadin, J.; Gojmerac, T.; Bratos, I.; Lipej, Z.; Novosel, D.; Vulic, A.",FOOD TECHNOLOGY AND BIOTECHNOLOGY,2009
,8,The effects of food advertising on food-related behaviours and perceptions in adults: A review,"Vukmirovic, Marija","Elsevier Science B.V., Amsterdam.",2015
,9,FOOD `BIODYNAMICS' Clearspring takes an holistic approach,unknown,WILLIAM REED,2007
,10,Development of food-grade nanoemulsions and emulsions for delivery of omega-3 fatty acids: opportunities and obstacles in the food industry,"Walker, R.; Decker, E.; McClements, D.",Royal Society of Chemistry,2015
,11,Estimation of exposure to food packaging materials. 1: Development of a food-packaging database,"Duffy, E.; Hearty, A. P.; Gilsenan, M. B.; Gibney, M. J.",TAYLOR & FRANCIS,2006
,12,Estimation of exposure to food-packaging materials. 2: Patterns of intakes of packaged foods in Irish Children aged 5-12 years,"Duffy, E.; Hearty, A. P.; Flynn, A.; McCarthy, S.; Gibney, M. J.",TAYLOR & FRANCIS,2006
,13,Why chlorate occurs in potable water and processed foods: a critical assessment and challenges faced by the food industry,"Kettlitz, Beate; Kemendi, Gabriella; Thorgrimsson, Nigel; Cattoor, Nele; Verzegnassi, Ludovica; Le Bail-Collet, Yves; Maphosa, Farai; Perrichet, Aurélie; Christall, Birgit; Stadler, Richard H.",Taylor & Francis,2016
,14,Migration of photoinitiators from cardboard into dry food: evaluation of Tenax® as a food simulant,"Van Den Houwe, Kathy; Evrard, Caroline; Van Loco, Joris; Lynen, Frederic; Van Hoeck, Els",Taylor & Francis,2016
,15,Influence of aqueous food simulants on potential nanoparticle detection in migration studies involving nanoenabled food-contact substances,"Addo Ntim, Susana; Thomas, Treye A.; Noonan, Gregory O.",Taylor & Francis,2016
,16,The role of traditional foods in food-based dietary guidelines – A South African case study on maas (cultured milk),"Du Plooy, Z.; Schönfeldt, H.C.; Hall, N.","Elsevier Science B.V., Amsterdam.",2018
,17,The Sociology of Food: Eating and the Place of Food in Society,"Gora, L. Sasha",Taylor & Francis,2018
,18,How Will Women Affect the Future of Food?,"Collins, J.E.",INSTITUTE OF FOOD TECHNOLOGISTS,2014
,19,Controlled release in food: a sensory perspective,"Kilcast, D.",Office for Official Publications of the European Communities,1997
,20,"ME &amp; MY FACTORY: Bowling along: Keith Lacey, Butt Foods' factory manager on an edible food dish",unknown,WILLIAM REED,2008
,21,Creation of reduced fat foods: Influence of calcium-induced droplet aggregation on microstructure and rheology of mixed food dispersions,"Wu, B. c.; Degner, B.; McClements, D. J.","Elsevier Science B.V., Amsterdam.",2013
,22,"Corrigendum to “Surface protein coverage and its implications on spray-drying of model sugar-rich foods: Solubility, powder production and characterisation” [Food Chemistry 128 (2013) 1003–16]","Jayasundera, M.; Adhikari, B.; Howes, T.; Aldred, P.","Elsevier Science B.V., Amsterdam.",2014
,23,"""What's the deal with these strange substances in our food?"" The representation of food additives by Belgian consumer organizations, 1960–1995","Degreef, Filip",Taylor & Francis,2019
,24,Microchannel Emulsification and Improvement of Stability of Food-grade Monodisperse Emulsion Droplets through Layer-by-layer Deposition,"Kobayashi, I.; Ichikawa, S.",DAI NIPPON PRINTING CO.,2014
,25,Can current dietary exposure models handle aggregated intake from different foods? A simulation study for the case of two foods,"Slob, W.; Boer, W. J.; Voet, H. v.","Elsevier Science B.V., Amsterdam.",2010
,26,A mathematical model of the effect of pH and food matrix composition on fluid transport into foods: An application in gastric digestion and cheese brining,"Van Wey, A. S.; Cookson, A. L.; Roy, N. C.; McNabb, W. C.; Soboleva, T. K.; Wieliczko, R. J.; Shorten, P. R.","Elsevier Science B.V., Amsterdam.",2014
,27,"Fiber in, Calories out: Exploring Calorie Reduction's Fibrous Front Given that creating reduced-calorie foods comes with a host of problems, fiber not only improves a food's nutritrion by adding a nutrient many Americans are lacking, it serves as a weight-management ingredient, too",unknown,WEEKS PUBLISHING CO.,2015
,28,Iron deficiency and iron fortified foods-a review,"Martinez-Navarrete, N.; Camacho, M. M.; Martinez-Lahuerta, J.; Marto, J.; Fito, P.",Published on behalf of the Canadian Institute of Food Science and Technology by Elsevier Applied Science,2002
,29,FUNCTIONAL FOODS: The Funcitonal Foods market is expanding at 20% year-on-year,unknown,TARA PUBLISHING CO LTD,2006
,30,Foresight - food's contribution to health in the future,unknown,INSTITUTE OF FOOD SCIENCE & TECHNOLOGY,2000
,31,Food-handling Practices and Knowledge among Families With Young Children,unknown,International Association for Food Protection,2013
,32,Quality food: quality environment,"Ogier, J. P.",INSTITUTE OF FOOD SCIENCE & TECHNOLOGY,1994
,33,Food — a lifelong relationship,"Fotheringham,  Alice",RUSSELL PUBLISHING LTD,2017
,34,In vitro Growth Inhibition of Food-borne Pathogens and Food Spoilage Microorganism by Vitamin K5,"Miranda, J. M.; Jorge, F.; Dominguez, L.; Cepeda, A.; Franco, C. M.",Springer Science + Business Media,2011
,35,`The Fishy and Vegetable Abominations Known as Japanese Food',"Hosking, R.",Prospect Books,1996
,36,"Targeting Texture : Texture is one of the most basic attributes of the food-sensory experience, yet it is often an under-leveraged aspect of food product formulation",unknown,WEEKS PUBLISHING CO.,2012
,37,"Screening of Over 600 Pesticides, Veterinary Drugs, Food-Packaging Contaminants, Mycotoxins, and Other Chemicals in Food by Ultra-High Performance Liquid Chromatography Quadrupole Time-of-Flight Mass Spectrometry (UHPLC-QTOFMS)","Pérez-Ortega, P.; Lara-Ortega, F. J.; Gilbert-López, B.; Moreno-González, D.; García-Reyes, J. F.; Molina-Díaz, A.",Springer Science + Business Media,2017
,38,"Familiarizing Food: Frozen Food Chains, Technology, and Consumer Trust, Norway 1940-1970","Finstad, T.",Taylor & Francis,2013
,39,What does the public really think about genetically modified food?,"Cormack, C.",AUSTRALIAN INSTITUTE OF FOOD SCIENCE & TECHNOLOGY,2004
,40,Around the functional food: The antenna,"Murakami, A.",FOOD CHEMICALS NEWSPAPER INC,2009
,41,Antimicrobial Screening of Decalepis hamiltonii Wight and Arn. (Asclepiadaceae) Root Extracts Against Food-Related Microorganisms,"Thangadurai, D.; Murthy, K. S. R.; Prasad, P. J. N.; Pullaiah, T.",FOOD AND NUTRITION PRESS INC,2004
,42,Food,"Ludington, Charles C.",Taylor & Francis,2020
,43,Inhibitory parameters of the essential oil and various extracts of Metasequoia glyptostroboides Miki ex Hu to reduce food spoilage and food-borne pathogens,"Bajpai, V. K.; Rahman, A.; Choi, U. K.; Youn, S. J.; Kang, S. C.","Elsevier Science B.V., Amsterdam.",2007
,44,The Maillard reaction products as food-born antioxidant and antibrowning agents in model and real food systems,"Nooshkam, Majid; Varidi, Mehdi; Bashash, Moein","Elsevier Science B.V., Amsterdam.",2019
,45,From Pharmacy to Fast Food: the Evolution of the Persian Kitchen,"Shaida, M.",Prospect Books,2000
,46,FUNCTIONAL FOODS: Combining food with function,"Holloway, J. H.",REED BUSINESS INFORMATION,2003
,47,Preparation and use of food-based dietary guidelines: lessons from Thailand and the Philippines,"Schneeman, B. O.",FOOD AND AGRICULTURE ORGANIZATION,2001
,48,Functional Foods: definition and commercialisation,"Tapsell, L. C.",AUSTRALIAN INSTITUTE OF FOOD SCIENCE & TECHNOLOGY,2005
,49,The Future of Functional Foods-Legislative Issues,"Eve, L.",Miller Freeman,1999
,50,"Warm, Comforting Food: Soups, Broths and Pottages","White, E.",Totnes; Prospect,2007
,51,Ultraviolet processing of liquid food: A review: Part 2: Effects on microorganisms and on food components and properties,"Falguera, V.; Pagan, J.; Garza, S.; Garvin, A.; Ibarz, A.","Elsevier Science B.V., Amsterdam.",2011
,52,"Corrigendum to ""Assessing the toxicity of polymeric food-contact substances"" [Food Chem. Toxicol. 49 (2011) 1887-1897]","Nelson, C. P.; Patton, G. W.; Arvidson, K.; Lee, H.; Twaroski, M. L.","Elsevier Science B.V., Amsterdam.",2012
,53,"Safer Food: Good versus bad bacteria, nuclear science and improved plant hygiene are in the forefront of food safety initiatives",unknown,CHARLESON PUBLISHING,1998
,54,Food-dependent set-up of the DiDGI® dynamic in vitro system: Correlation with the porcine model for protein digestion of soya-based food,"Reynaud, Yohan; Couvent, Angélique; Manach, Aline; Forest, David; Lopez, Michel; Picque, Daniel; Souchon, Isabelle; Rémond, Didier; Dupont, Didier","Elsevier Science B.V., Amsterdam.",2021
,55,The Sweet Smell of Food... Via Odor-Scavenging Packaging,"Brody, A. L.",INSTITUTE OF FOOD TECHNOLOGISTS,2003
,56,Snack Foods: Ingredient Concepts to Munch On,"Pszczola, D. E.",INSTITUTE OF FOOD TECHNOLOGISTS,2002
,57,Bottom-up Food: Making Rāmen a Gourmet Food in Tokyo,"Fukutomi, Satomi",Taylor & Francis,2014
,58,Sustainable school food procurement: What factors do affect the introduction and the increase of organic food?,"Filippini, Rosalia; De Noni, Ivan; Corsi, Stefano; Spigarolo, Roberto; Bocchi, Stefano","Elsevier Science B.V., Amsterdam.",2018
,59,Food‐borne Infections and Intoxications: Recent Problems and New Organisms,Richard J. Gilbert,Uplands Press,1988
,60,"The ``Natural'' Aversion: The FDA's Reluctance to Define a Leading Food-Industry Marketing Claim, and the Pressing Need for a Workable Rule","Farris, A.L.",Food and Drug Law Institute; 1999,2010
,61,Food‐Derived Xeno‐microRNAs: Influence of Diet and Detectability in Gastrointestinal Tract—Proof‐of‐Principle Study,"Link, Jastin; Thon, Cosima; Schanze, Denny; Steponaitiene, Ruta; Kupcinskas, Juozas; Zenker, Martin; Canbay, Ali; Malfertheiner, Peter; Link, Alexander","John Wiley & Sons, Ltd",2019
,62,Acceptability and Efficacy of Locally Produced Ready-to-Use Therapeutic Food Nutreal in the Management of Severe Acute Malnutrition in Comparison With Defined Food: A Randomized Control Trial,"Thapa,  Babu Ram; Goyal,  Pooja; Menon,  Jagadeesh; Sharma,  Ajay",UNITED NATIONS UNIVERSITY PRESS,2017
,63,"Nanoencapsulated plant-based bioactive formulation against food-borne molds and aflatoxin B1 contamination: Preparation, characterization and stability evaluation in the food system","Kumar, Akshay; Kujur, Anupam; Singh, Prem Pratap; Prakash, Bhanu","Elsevier Science B.V., Amsterdam.",2019
,64,The Extent of Harm to the Victim as an Alternative Aggravating Factor for the Conviction of Felony Fraud in the Context of Food-Safety Violations,Yi-Chen Su,Food and Drug Law Institute,2016
,65,Personalized Foods: Meeting the nutritional needs of consumers in various life stages is a top trend in food and beverage development. Explore the latest ingredients and strategies for creating individualized products,unknown,WEEKS PUBLISHING CO.,2009
,66,Post-market surveillance of novel foods. Claire Robertson discusses the need for the post-market monitoring of the safety of `novel' foods,unknown,BOSTON HANNAH COMMUNICATIONS,2005
,67,"Biopharming, Bananas and Bureaucracy: The Banana Vaccine as a Case Study for Products that Straddle the Definitional Food/Drug Divide","Birdsall, M.",Food and Drug Law Institute; 1999,2011
,68,"Corrigendum to ""Novel liquid chromatography–mass spectrometry method for sensitive determination of the mustard allergen Sin a 1 in food"" [Food Chem. 183 (2015) 58–63]","Posada-Ayala, Maria; Alvarez-Llamas, Gloria; Maroto, Aroa S.; Maes, Xavier; Muñoz-Garcia, Esther; Villalba, Mayte; Rodríguez, Rosalía; Perez-Gordo, Marina; Vivanco, Fernando; Pastor-Vargas, Carlos; Cuesta-Herranz, Javier","Elsevier Science B.V., Amsterdam.",2016
,69,The Assault on Bad Food: Tobacco-style Litigation as an Element of the Comprehensive Scheme to Fight Obesity,"Fehn, J.J.",Food and Drug Law Institute; 1999,2012
,70,Development of Reduced-calorie foods: Microparticulated whey proteins as fat mimetics in semi-solid food emulsions,"Chung, C.; Degner, B.; McClements, D. J.","Elsevier Science B.V., Amsterdam.",2014
,71,Testing the Abbreviated Food Technology Neophobia Scale and its relation to satisfaction with food-related life in university students,"Schnettler, Berta; Grunert, Klaus G.; Miranda-Zapata, Edgardo; Orellana, Ligia; Sepúlveda, José; Lobos, Germán; Hueche, Clementina; Höger, Yesli","Elsevier Science B.V., Amsterdam.",2017
,72,Marketing organic food. Who buys it and what do they purchase?,"Pearson, D.",FOOD AUSTRALIA,2002
,73,Genetically Modified Foods: Threat or Opportunity?,"Roller, S.",FOOD TECHNOLOGY AND BIOTECHNOLOGY,2001
,74,Consumer Perceptions of ``Functional Food'' in the United States,"Urala, N.; Schutz, H.; Spinks, J.",FOOD PRODUCT PRESS,2011
,75,"Survey of Observed Vendor Food-handling Practices at Farmers' Markets in British Columbia, Canada",unknown,International Association for Food Protection,2014
